Genotype,DH_Dharwad,DH_IARI-DELHI,DH_IARI-Jharkhand,DH_KARNAL,DH_Pooled,GFD_Dharwad,GFD_IARI-Delhi,GFD_IARI-Jharkhand,GFD_Karnal,GFD_Pooled,GNPS_Dharwad,GNPS_IARI-Jharkhand,GNPS_Pooled,GWPS_Dharwad,GWPS_IARI-Delhi,GWPS_IARI-Jharkhand,GWPS_Karnal,GWPS_Ludhiana,GWPS_Pooled,PH_Dharwad,PH_IARI-Delhi,PH_IARI-Jharkhand,PH_Karnal,PH_Ludhiana,PH_Pooled,GY_Dharwad,GY_IARI-Delhi,GY_IARI-JKD,GY_Karnal,GY_Ludhiana,GY_Pooled
AAI-W22,62.843,97.468,88.419,98.679,86.794,44.283,44.827,31.243,40.735,42.897,81.659,71.609,77.681,3.032,3.835,2.65,3.202,1.223,2.88,65.084,89.657,91.142,104.939,103.318,89.721,185.59,319.822,205.13,500.739,414.035,314.458
AAI-W29,60.066,105.083,87.388,95.276,87.275,44.283,44.827,32.92,42.738,43.136,36.144,70.682,54.635,1.895,2.595,2.524,3.667,1.295,2.487,87.028,104.552,105.472,118.113,109.544,105.657,340.663,387.69,239.604,506.012,426.714,377.428
AKAW5080,55.096,96.634,79.6,89.991,80.225,44.283,44.827,37.318,45.636,44.57,44.869,49.017,47.878,1.64,1.256,2.262,2.397,2.263,1.955,77.823,104.552,94.379,109.194,107.107,98.548,238.635,376.34,246.852,479.973,580.827,381.368
AKAW5088,54.56,89.019,84.524,88.99,78.53,44.283,44.827,31.792,47.256,45.047,38.133,48.72,44.282,1.789,1.704,2.382,2.906,1.707,2.144,80.731,111.612,100.65,112.074,117.128,104.708,256.817,419.135,255.861,555.774,487.549,392.886
AKAW5099,54.268,85.369,81.547,86.468,76.579,44.283,44.827,29.071,47.809,45.286,64.838,47.322,56.952,3.019,1.651,2.406,3.422,2.007,2.559,72.301,102.723,93.587,103.843,99.796,93.936,369.539,392.419,256.515,551.579,527.685,423.772
BCW5,61.186,104.039,89.392,98.679,88.253,44.283,44.827,32.892,39.286,42.42,51.123,58.516,55.769,2.273,2.009,2.351,2.718,1.859,2.274,79.811,100.634,90.35,111.182,102.505,96.062,309.756,557.227,285.655,577.67,515.006,450.299
BRW3863,55.388,93.713,84.524,95.156,81.69,44.283,44.827,33.442,41.46,43.136,60.914,62.472,62.671,2.684,1.974,2.058,3.108,2.172,2.421,80.731,109.782,104.612,123.667,114.691,107.206,430.072,433.322,255.861,511.982,590.291,437.353
BRW3869,60.358,97.468,88.419,95.156,85.093,44.283,44.827,26.844,42.184,42.897,27.858,58.61,44.234,1.424,2.306,2.37,3.548,2.314,2.467,77.97,100.634,103.027,121.884,104.942,101.634,232.754,433.322,268.745,561.1,631.92,426.283
BRW3877,59.238,94.756,86.415,96.157,84.358,44.283,44.827,28.521,41.289,42.897,57.762,46.851,53.187,2.517,0.276,2.381,3.559,1.959,2.2,73.221,107.297,104.679,120.788,107.919,103.351,322.375,458.628,283.893,643.305,520.599,461.672
CG1029,56.753,100.389,80.573,89.11,81.684,44.283,44.827,36.219,48.533,45.047,24.899,44.025,35.377,1.402,2.946,2.368,2.642,1.352,2.167,71.38,94.49,92.794,102.06,103.045,92.207,435.953,429.307,271.009,532.642,448.857,424.71
CG1034,62.551,100.389,84.467,101.442,87.761,44.283,44.827,27.971,36.942,41.464,52.721,54.104,54.394,2.517,0.276,2.48,3.278,2.348,2.233,75.062,107.297,93.587,120.788,107.919,101.046,379.164,458.628,262.957,497.727,598.542,438.219
CG1035,59.238,96.634,86.415,97.919,85.33,44.283,44.827,34.019,40.564,42.42,61.058,46.38,54.587,3.403,1.247,2.269,2.195,1.978,2.2,85.187,101.808,93.587,111.87,103.857,99.124,549.531,520.107,271.009,581.76,509.085,493.193
CG1036,56.753,87.246,85.441,89.11,79.496,44.283,44.827,32.92,47.084,44.57,39.731,52.22,46.961,1.63,1.202,2.431,2.563,1.712,1.928,61.255,84.427,90.417,100.276,96.546,85.482,251.148,420.794,246.852,509.562,444.428,373.113
CG1037,60.066,93.818,86.415,95.276,84.115,44.283,44.827,31.82,42.013,42.897,22.185,56.082,40.204,0.991,1.516,2.456,2.585,2.538,2.035,75.062,107.297,101.51,114.545,108.732,101.814,260.773,515.378,265.372,549.804,642.827,452.853
DBW107,62.551,96.634,88.362,96.157,86.302,44.283,44.827,29.62,41.289,43.136,57.083,70.87,65.157,2.105,0.276,2.711,2.946,2.016,2.071,69.539,104.552,99.133,109.194,107.919,98.164,266.548,496.461,248.462,510.746,513.513,406.51
DBW110,62.551,97.573,90.309,95.276,86.789,44.283,44.827,35.669,42.738,43.375,43.996,60.697,53.428,2.014,1.561,2.667,3.104,2.026,2.342,78.744,104.552,94.379,111.87,104.67,98.74,402.264,553.211,287.919,598.33,553.37,489.628
DBW173,59.53,101.223,89.392,97.799,86.794,44.283,44.827,31.243,40.011,42.42,65.664,51.545,59.437,2.456,2.054,2.5,2.848,1.868,2.398,71.527,103.379,100.65,118.317,109.817,100.673,304.944,561.01,287.266,664.662,518.549,478.818
DBW187,58.888,93.301,85.994,92.009,82.464,44.472,44.857,31.595,44.484,44.362,34.809,55.207,45.776,2.196,1.907,2.879,3.148,1.98,2.475,73.186,102.802,98.455,110.919,107.547,98.719,326.703,484.859,258.114,598.878,594.801,461.657
DBW290,57.581,89.124,84.467,93.515,81.198,44.283,44.827,36.219,43.462,43.375,49.522,55.234,53.38,2.709,2.362,2.829,3.335,2.339,2.806,75.062,103.637,103.095,117.221,107.107,101.622,223.234,340.398,204.173,545.069,613.599,388.873
DBW291,57.045,91.835,80.63,88.99,79.016,44.283,44.827,31.792,46.531,44.331,32.705,68.689,51.811,1.743,2.711,2.824,2.804,1.659,2.432,79.811,95.146,104.612,118.317,104.942,100.481,340.557,419.135,233.314,563.467,462.749,401.141
DBW296,60.066,99.45,88.362,97.038,86.546,44.283,44.827,31.27,41.289,42.897,43.221,53.915,49.567,1.594,1.975,2.617,2.556,1.788,2.144,64.017,105.467,95.171,106.519,103.857,94.705,190.508,453.899,234.773,505.42,497.571,374.989
DBW303,55.925,91.94,82.52,90.872,80.225,44.283,44.827,31.27,43.462,43.375,51.751,70.211,62.164,3.229,2.083,2.792,2.729,2.51,2.722,72.301,107.297,95.171,114.545,106.294,99.124,469.641,529.565,294.361,601.88,662.313,523.776
DBW306,58.701,86.203,84.524,95.156,80.717,44.283,44.827,30.143,41.46,42.659,61.108,52.016,57.41,3.004,2.504,2.818,3.137,2.333,2.851,66.925,98.805,95.104,108.507,110.629,95.485,295.318,404.947,251.835,561.1,645.205,431.724
DBW307,55.925,88.185,83.494,94.395,80.469,44.283,44.827,31.27,42.738,43.614,50.2,47.51,49.76,2.307,2.056,2.518,3.054,2.272,2.49,79.664,103.637,93.587,117.221,106.294,100.085,370.501,411.336,224.305,589.453,585.256,444.41
DBW308,60.358,101.223,89.392,95.156,86.308,44.283,44.827,31.243,42.909,43.136,44.919,43.727,45.103,2.301,2.405,2.289,2.79,2.248,2.434,77.049,103.379,96.689,115.641,103.318,98.752,376.171,508.989,226.067,581.221,618.634,462.87
DBW309,55.388,97.468,85.498,95.156,82.905,44.283,44.827,31.792,43.633,43.853,46.276,52.016,50.026,2.228,1.992,2.55,3.122,1.707,2.392,72.447,103.379,95.104,111.182,104.13,96.638,287.618,485.343,279.213,585.955,479.577,425.345
DBW310,61.722,102.266,91.283,104.085,90.435,44.283,44.827,29.62,35.493,40.986,21.894,69.458,46.913,0.644,1.759,2.181,2.996,1.855,1.908,71.38,101.808,98.341,117.221,105.482,98.932,235.747,529.565,279.062,609.573,475.428,437.468
DBW311,60.894,100.389,84.467,93.515,85.087,44.283,44.827,33.469,44.187,43.614,25.481,33.852,30.454,0.808,1.867,2.163,2.397,1.741,1.785,62.176,100.893,92.794,103.843,103.045,92.015,208.796,553.211,256.515,481.749,450.628,385.871
DBW312,61.722,103.205,92.256,103.204,90.678,44.283,44.827,35.119,36.942,41.225,66.486,52.503,60.427,2.343,2.263,2.163,2.902,1.836,2.314,71.38,99.978,84.871,104.735,99.796,91.247,248.26,676.17,279.867,602.472,505.542,473.305
DBW313,62.551,97.573,88.362,98.8,87.275,44.283,44.827,32.37,39.115,42.42,52.042,55.423,54.732,2.087,2.191,2.206,2.83,2.291,2.331,67.698,89.001,100.718,106.519,102.233,92.976,341.625,439.711,237.994,537.968,598.542,434.091
DBW314,62.551,102.266,86.415,101.442,88.733,44.283,44.827,29.071,36.942,41.703,65.42,55.611,61.489,2.663,2.631,2.206,3.444,2.614,2.75,73.221,107.297,95.171,112.762,105.482,98.74,460.016,487.003,236.383,529.683,667.627,478.183
DBW315,62.014,104.039,89.392,100.441,88.982,44.283,44.827,26.844,37.113,41.464,60.817,79.71,71.455,2.575,2.144,2.239,3.245,1.337,2.362,73.368,103.379,95.896,124.559,110.629,101.442,400.234,674.51,290.487,550.448,527.406,486.323
DBW316,61.722,91.94,88.362,94.395,84.358,44.283,44.827,29.071,42.738,43.614,31.976,58.154,46.14,1.658,1.786,2.331,2.57,2.453,2.166,78.744,100.893,97.548,111.87,105.482,98.932,294.461,553.211,295.167,572.883,618.027,475.931
DBW317,62.843,91.835,89.392,96.037,84.85,44.283,44.827,31.792,40.735,42.42,45.501,57.197,52.294,2.228,1.911,2.488,3.086,1.925,2.391,83.493,104.293,101.443,110.29,104.13,100.481,295.318,466.427,265.524,530.328,529.177,412.774
DBW318,62.843,96.529,89.392,93.394,85.336,44.283,44.827,31.243,43.633,43.853,30.475,56.726,44.572,1.286,1.794,2.812,3.404,1.84,2.338,68.766,109.782,104.612,104.048,102.505,97.599,255.855,480.614,262.303,475.292,535.377,391.009
DBW319,57.581,94.756,86.415,94.395,83.385,44.283,44.827,29.62,42.738,43.614,43.318,57.683,51.546,2.261,2.128,2.593,3.27,1.38,2.401,82.426,113.7,102.302,117.221,106.294,104.888,351.25,524.836,307.245,652.773,358.514,454.542
DBW320,53.44,95.695,83.494,94.395,81.684,44.283,44.827,35.119,42.738,43.614,49.037,45.909,48.361,2.206,1.822,2.748,2.917,1.731,2.352,72.301,102.723,92.002,108.303,100.608,94.705,359.913,619.42,295.167,623.776,538.313,501.073
DBW321,62.551,95.695,87.388,98.8,86.546,44.283,44.827,29.071,39.115,42.659,66.002,50.336,59.075,2.316,2.164,2.387,2.917,2.481,2.481,73.221,102.723,88.833,117.221,106.294,97.395,425.365,539.024,290.335,543.294,633.084,491.317
DBW322,61.722,85.369,83.494,92.634,80.955,44.283,44.827,30.17,43.462,43.614,37.501,53.068,46.285,1.959,1.912,2.262,2.946,2.775,2.387,68.619,97.234,90.417,110.978,102.233,93.36,220.347,373.503,238.799,478.79,618.913,383.057
DBW323,61.186,101.223,93.286,101.322,89.225,44.283,44.827,27.943,37.113,41.703,49.669,52.016,51.715,2.072,2.207,2.251,2.956,1.783,2.291,78.89,114.356,100.65,120.992,110.629,105.285,488.787,584.656,321.891,603.709,564.606,517.844
DBW324,59.53,104.039,93.286,102.203,89.711,44.283,44.827,29.043,36.388,40.986,49.669,52.958,52.198,1.999,2.324,2.345,3.324,2.077,2.476,80.731,118.93,96.689,121.884,112.254,106.245,484.936,423.864,268.745,514.941,536.263,438.666
DBW326,56.753,91.001,87.388,94.395,82.413,44.283,44.827,31.82,42.738,43.136,56.308,56.364,57.338,2.663,2.074,2.705,2.613,1.836,2.425,72.301,98.149,104.679,110.086,107.919,98.932,474.454,520.107,300.803,607.798,475.428,486.626
DBW327,60.894,96.634,85.441,93.515,84.358,44.283,44.827,32.37,42.738,43.136,49.619,59.096,55.407,2.635,2.415,2.574,2.888,2.301,2.608,72.301,97.234,92.002,107.411,103.045,93.936,530.281,496.461,299.193,545.069,588.799,496.57
DBW328,60.066,93.818,84.467,94.395,83.385,44.283,44.827,29.62,42.013,42.897,48.843,56.741,53.815,2.297,2.074,2.742,3.104,2.434,2.601,73.221,99.978,98.341,113.653,111.169,99.508,578.407,614.69,307.245,658.691,618.027,573.497
DBW329,60.066,96.634,87.388,95.276,85.087,44.283,44.827,30.17,42.013,42.897,55.532,60.98,59.317,2.352,1.912,2.673,2.57,2.386,2.416,75.982,99.978,94.379,111.87,104.67,97.203,341.625,416.065,256.515,543.294,608.284,437.468
DBW330,60.358,97.468,88.419,96.037,85.336,44.283,44.827,27.943,41.46,43.136,50.638,39.677,45.875,2.447,1.794,2.332,3.266,1.574,2.343,80.731,117.1,112.536,114.749,111.441,107.974,509,579.927,330.749,643.358,443.263,509.776
DBW331,62.551,94.756,87.388,99.68,86.546,44.283,44.827,26.871,38.391,42.181,48.552,57.212,53.911,1.968,1.912,2.399,3.451,2.158,2.438,81.505,102.723,107.849,117.221,107.919,104.12,549.531,520.107,287.919,639.163,549.828,523.964
DBW332,62.551,96.634,86.415,95.276,85.573,44.283,44.827,27.971,42.013,43.375,46.517,62.393,55.552,2.27,2.164,2.81,3.242,2.348,2.652,81.505,97.234,99.133,102.06,101.42,96.05,344.513,505.919,295.167,632.061,601.199,491.504
DBW334,60.358,94.651,86.471,95.156,83.878,44.283,44.827,31.243,42.909,43.136,53.159,58.61,56.831,2.812,2.54,2.637,3.259,1.944,2.724,67.845,107.953,99.858,113.857,100.881,97.599,385.796,494.802,278.408,640.399,547.777,477.88
DBW335,54.268,91.001,78.626,94.395,79.496,44.283,44.827,35.119,43.462,43.853,42.542,51.749,48.119,1.731,1.39,2.337,2.722,2.88,2.222,74.142,101.808,91.21,102.952,101.42,93.744,211.684,449.169,221.084,482.34,641.941,398.254
DBW39,61.722,96.634,95.177,101.442,89.219,44.283,44.827,26.871,36.942,41.703,62.803,67.103,66.074,2.663,2.146,2.418,3.494,1.912,2.592,88.869,110.956,103.887,119.004,111.169,107.578,308.899,491.732,249.267,503.645,486.942,406.135
DBW88,67.52,103.205,89.335,101.442,91.164,44.283,44.827,30.72,39.115,42.659,31.394,60.038,46.816,1.283,2.487,2.91,3.516,2.643,2.675,71.38,100.893,97.548,105.627,104.67,95.858,276.173,482.274,284.698,624.96,669.398,483.249
GW322,60.066,98.511,81.547,93.515,83.629,44.283,44.827,30.72,42.738,43.614,46.226,57.683,52.994,1.987,1.633,2.437,2.563,1.617,2.069,74.142,94.49,92.794,105.627,98.171,92.399,372.426,468.086,315.298,625.552,466.571,463.548
GW513,55.096,89.124,77.652,86.468,76.822,44.283,44.827,35.669,49.258,45.764,47.583,56.741,53.187,2.16,1.768,2.555,3.473,1.921,2.452,74.142,102.723,95.964,109.194,103.045,96.819,434.99,335.669,254.099,474.647,487.828,391.875
GW519,55.096,100.389,84.467,97.038,84.358,44.283,44.827,35.669,42.013,43.375,43.609,49.112,47.299,2.142,1.57,2.256,2.707,1.541,2.057,74.142,89.916,94.379,105.627,104.67,93.36,289.649,330.94,254.904,448.017,402.8,336.338
GW521,56.753,90.063,79.6,92.634,79.739,44.283,44.827,32.92,44.187,44.092,49.328,51.09,51.16,2.288,1.93,2.375,2.931,2.244,2.383,61.255,90.831,95.171,104.735,95.734,88.749,219.384,359.315,238.799,562.231,580.827,398.442
GW522,56.753,95.695,81.547,85.587,79.739,44.283,44.827,31.82,48.533,44.808,33.43,54.198,44.837,1.484,1.768,2.231,2.888,2.272,2.144,61.255,94.49,81.701,95.817,97.359,84.714,232.86,340.398,223.499,526.724,585.256,383.432
GW523,57.581,89.124,79.6,89.991,79.01,44.283,44.827,30.72,44.187,43.614,44.19,41.67,43.776,1.859,1.84,2.238,3.162,1.627,2.18,64.937,86.257,88.833,99.384,98.171,86.443,273.286,345.128,242.825,538.56,439.114,369.548
GW525,60.894,93.818,86.415,95.276,84.358,44.283,44.827,34.569,42.013,43.375,55.144,58.625,57.917,2.562,2.631,2.686,3.509,1.893,2.748,77.823,113.7,100.718,122.572,106.294,104.696,192.433,420.794,243.631,513.705,494.914,372.925
GW527,56.217,82.448,78.683,89.871,76.099,44.283,44.827,37.291,42.909,43.136,44.337,32.612,39.118,1.944,0.868,2.021,2.48,1.897,1.83,64.163,86.913,87.973,100.48,94.382,85.11,257.78,371.843,234.119,507.248,523.863,370.933
GW528,55.925,100.389,87.388,94.395,84.601,44.283,44.827,28.521,42.738,43.136,44.675,58.248,52.511,2.133,1.948,2.543,3.083,2.263,2.447,84.266,98.149,102.302,110.086,104.67,100.085,348.363,524.836,279.062,588.861,579.942,474.055
HD2864,54.268,102.266,77.652,88.229,80.469,44.283,44.827,38.418,49.258,45.286,40.894,54.198,48.554,1.64,2.406,2.2,2.664,1.541,2.098,63.096,90.831,84.871,101.168,97.359,86.251,282.911,368.773,215.447,533.825,397.485,359.416
HD2932,56.753,102.266,84.467,95.276,84.844,44.283,44.827,32.92,43.462,43.853,42.736,47.793,46.189,1.968,2.254,2.244,2.917,1.589,2.218,65.858,95.405,95.964,106.519,102.233,92.784,308.899,520.107,224.305,629.102,429.371,433.528
HD2967,69.177,106.96,89.335,109.37,94.81,44.283,44.827,36.769,33.319,40.27,50.104,50.807,51.401,1.63,1.939,2.25,2.758,2.282,2.182,75.062,109.126,93.587,117.221,109.544,101.046,214.572,544.699,274.23,538.56,577.285,434.279
HD3043,62.551,100.389,91.283,98.8,88.733,44.283,44.827,30.72,39.84,42.181,58.537,57.872,59.22,2.316,2.164,2.15,3.256,2.301,2.463,83.346,118.274,102.302,116.329,112.793,107.386,283.874,520.107,244.436,575.25,583.484,448.913
HD3090,60.894,91.94,84.467,95.276,83.385,44.283,44.827,27.971,42.738,43.614,64.547,53.444,59.944,2.489,1.993,2.418,2.953,2.111,2.429,68.619,101.808,109.433,109.194,107.919,99.893,383.976,491.732,259.736,515.48,538.313,437.843
HD3249,56.753,93.818,85.441,95.276,82.899,44.283,44.827,26.871,42.738,43.136,64.063,50.43,58.158,2.59,2.137,2.867,3.083,2.405,2.697,75.062,102.723,107.849,111.87,104.67,100.853,267.511,557.94,279.867,632.061,614.484,486.063
HD3293,61.722,92.879,87.388,93.515,84.115,44.283,44.827,32.92,43.462,43.375,31.976,56.835,45.465,1.493,3.171,2.873,2.715,1.912,2.503,71.38,109.126,106.264,119.004,110.356,103.928,324.3,397.148,262.957,540.927,486.942,405.384
HD3298,59.238,91.94,88.362,97.038,84.358,44.283,44.827,31.82,40.564,42.42,52.333,51.09,52.656,2.626,1.966,2.561,2.686,1.76,2.358,75.062,90.831,98.341,110.086,99.796,94.513,483.117,397.148,227.526,506.012,447.085,408.574
HD3331,60.066,99.45,88.362,97.919,86.789,44.283,44.827,31.27,40.564,42.897,45.935,63.9,56.035,1.429,0.276,2.705,3.184,1.855,1.964,69.539,100.893,100.718,114.545,111.169,99.701,237.672,458.628,278.256,611.941,473.657,423.959
HD3332,59.238,92.879,86.415,88.229,81.684,44.283,44.827,30.72,47.809,45.286,39.537,45.061,43.196,2.051,0.276,2.356,3.487,1.712,2.035,76.903,102.723,101.51,119.896,106.294,101.814,385.901,524.836,217.863,650.998,525.913,475.369
HD3334,60.894,86.308,88.362,97.038,83.385,44.283,44.827,30.72,40.564,42.897,26.547,54.857,41.748,0.863,2.577,2.754,2.982,1.845,2.278,68.619,104.552,95.964,111.87,108.732,97.971,207.834,491.732,254.904,641.53,470.114,427.899
HD3348,62.551,99.45,91.283,102.323,89.463,44.283,44.827,34.569,37.666,41.942,38.859,51.561,46.189,1.767,2.263,2.318,2.83,2.329,2.322,73.221,105.467,95.171,109.194,104.67,97.395,224.197,453.899,221.889,609.573,587.913,430.714
HD3349,55.925,86.308,83.494,92.634,79.496,44.283,44.827,36.219,44.187,43.614,44.675,50.148,48.361,1.978,2.119,2.642,3.003,2.073,2.423,73.221,100.893,91.21,112.762,107.919,97.011,293.499,302.565,223.499,535.009,526.799,377.991
HD3350,63.379,85.369,83.494,90.872,80.955,44.283,44.827,30.17,45.636,44.092,44.675,57.683,52.222,1.804,1.813,2.549,2.78,2.092,2.247,65.858,97.234,96.756,108.303,104.67,94.321,188.583,354.586,220.278,570.516,535.656,380.242
HD3351,60.066,96.634,87.388,96.157,85.33,44.283,44.827,32.92,42.738,43.136,46.226,43.648,45.803,2.023,2.64,2.362,3.198,2.016,2.494,68.619,102.723,97.548,113.653,105.482,97.587,218.422,449.169,244.436,556.313,521.485,402.945
HD3352,59.238,103.205,91.283,101.442,89.219,44.283,44.827,31.27,38.391,42.181,66.68,61.451,65.109,2.663,2.227,2.518,2.837,2.139,2.516,79.664,99.978,85.663,103.843,101.42,93.36,415.74,439.711,260.541,556.313,566.656,452.853
HD3353,59.53,99.345,87.445,95.156,85.093,44.283,44.827,30.693,42.909,43.375,41.914,55.784,49.784,1.999,2.099,2.382,2.335,1.954,2.169,65.084,97.89,91.142,108.507,104.942,92.603,371.358,414.406,256.666,646.317,544.234,455.177
HD3354,58.409,92.879,80.573,93.515,81.441,44.283,44.827,32.92,43.462,43.375,66.777,46.662,57.579,3.202,2.191,2.462,3.003,1.912,2.597,71.38,101.808,103.095,116.329,104.67,99.701,524.506,591.045,298.388,588.861,535.656,516.646
HD3355,58.409,100.389,84.467,95.276,84.844,44.283,44.827,29.62,42.013,43.375,59.216,54.386,57.772,2.462,2.146,2.406,2.996,2.158,2.47,73.221,98.149,100.718,111.87,107.107,98.356,243.447,572.128,280.672,599.513,577.285,466.175
HD3356,60.894,102.266,92.256,104.085,90.435,44.283,44.827,35.119,36.217,40.986,20.925,44.025,33.399,0.753,2.353,2.219,2.722,2.424,2.1,68.619,103.637,96.756,108.303,101.42,95.474,222.272,382.961,227.526,524.949,633.084,400.318
HD3357,58.409,96.634,84.467,95.276,83.872,44.283,44.827,32.92,42.738,43.375,45.935,47.887,47.83,2.224,1.903,2.294,2.693,2.111,2.256,66.778,102.723,95.171,109.194,104.67,95.474,223.234,633.607,246.852,591.82,550.713,458.482
HD3359,58.409,94.756,84.467,96.157,83.629,44.283,44.827,29.071,41.289,43.136,68.231,52.126,61.103,2.526,2.29,2.132,3.126,1.988,2.432,64.937,103.637,93.587,107.411,103.045,94.129,220.347,643.065,272.62,569.924,509.971,450.227
HD3360,60.894,90.063,84.467,92.634,82.17,44.283,44.827,30.17,43.462,43.853,29.843,34.417,32.916,1.402,1.642,2.194,3.415,2.177,2.205,74.142,98.149,101.51,110.086,105.482,97.971,218.422,397.148,254.099,551.579,581.713,406.135
HD3362,60.894,90.063,86.415,92.634,82.656,44.283,44.827,29.071,43.462,43.853,48.746,60.038,55.456,2.38,2.065,2.624,3.314,2.643,2.673,75.062,110.956,105.472,110.978,111.981,103.543,408.04,430.253,275.035,561.639,672.055,476.87
HD3363,61.722,92.879,88.362,95.276,84.844,44.283,44.827,27.421,41.289,42.659,40.313,46.097,44.113,1.155,2.424,2.518,3.27,2.605,2.454,77.823,109.126,107.849,117.221,111.169,105.465,257.885,434.982,290.335,565.782,664.97,451.915
HD3364,53.44,91.001,77.652,91.753,78.281,44.283,44.827,31.27,45.636,44.57,43.027,55.14,50.098,1.85,2.209,2.331,3.769,2.064,2.516,72.301,109.126,104.679,107.411,109.544,101.046,226.122,430.253,289.53,569.924,531.228,417.58
HD3365,64.499,90.896,87.445,91.633,83.391,44.283,44.827,27.394,45.082,43.853,34.546,58.139,47.323,1.268,1.407,2.743,2.92,2.049,2.155,66.004,100.634,102.235,106.723,105.755,95.87,274.143,438.052,282.434,515.533,566.377,410.147
HD3366,59.53,101.223,88.419,97.799,86.551,44.283,44.827,28.493,40.735,42.659,73.225,72.645,74.013,3.16,2.018,2.781,2.711,2.286,2.657,78.89,104.293,103.027,112.074,104.942,100.481,418.522,414.406,250.224,536.837,627.491,445.796
HD3367,59.53,98.406,88.419,97.799,85.822,44.283,44.827,30.143,41.46,42.659,62.95,52.487,58.569,2.511,0.193,2.525,2.97,1.935,2.084,70.606,108.867,100.65,113.857,107.38,100.097,332.857,594.114,292.902,614.361,556.634,484.259
HD3368,61.722,93.818,87.388,94.395,84.601,44.283,44.827,31.82,42.738,43.614,29.455,55.328,43.438,0.927,0.276,2.611,2.693,2.282,1.796,68.619,104.552,95.171,108.303,103.045,95.666,259.81,524.836,279.867,567.557,595.884,453.604
HD3369,65.327,95.59,88.419,95.156,86.065,44.283,44.827,32.342,42.184,42.897,24.659,48.814,37.622,1.168,0.193,2.457,3.173,1.982,1.857,66.004,107.953,91.935,108.507,108.192,95.87,319.382,598.843,290.487,656.969,562.834,496.83
