Genotype,DH_Dharwad,DH_IARI-DELHI,DH_IARI-Jharkhand,DH_KARNAL,DH_Pooled,GFD_Dharwad,GFD_IARI-Delhi,GFD_IARI-Jharkhand,GFD_Karnal,GFD_Pooled,GNPS_Dharwad,GNPS_IARI-Jharkhand,GNPS_Pooled,GWPS_Dharwad,GWPS_IARI-Delhi,GWPS_IARI-Jharkhand,GWPS_Karnal,GWPS_Ludhiana,GWPS_Pooled,PH_Dharwad,PH_IARI-Delhi,PH_IARI-Jharkhand,PH_Karnal,PH_Ludhiana,PH_Pooled,GY_Dharwad,GY_IARI-Delhi,GY_IARI-JKD,GY_Karnal,GY_Ludhiana,GY_Pooled
NW7092,61.13,100.079,87.886,93.868,86.064,44.283,44.827,32.589,44.059,43.375,58.82,55.212,57.218,2.737,1.404,2.44,3.81,2.416,2.626,79.328,105.092,95.448,111.239,104.049,98.52,491.854,397.528,222.532,493.183,665.713,448.062
NW7093,55.332,93.508,87.886,92.987,82.417,44.283,44.827,31.489,41.161,42.897,67.545,58.132,63.058,2.719,1.565,2.347,3.081,1.685,2.305,83.93,109.666,101.787,108.564,112.985,103.516,374.426,534.674,226.558,588.46,501.857,448.812
NW7096,56.161,98.201,86.912,95.63,84.362,44.283,44.827,30.693,41.46,43.136,37.067,57.668,48.336,1.88,1.947,2.525,3.331,1.707,2.36,70.606,100.634,91.935,112.966,105.755,95.678,258.742,527.906,261.498,568.793,484.892,419.716
NW8000,62.843,97.468,89.392,95.156,86.065,44.283,44.827,33.138,41.161,42.897,60.953,66.703,64.168,2.874,1.592,2.695,2.294,2.065,2.318,78.408,103.262,83.563,104.996,107.299,94.485,340.737,397.528,224.948,534.016,581.571,414.289
NWS2176,58.645,100.079,87.886,95.63,85.821,44.283,44.827,31.489,43.335,44.092,62.31,55.589,59.149,2.856,2.285,2.297,3.73,2.027,2.692,72.885,88.626,87.525,102.321,96.738,88.145,278.173,515.758,270.847,605.622,602.828,463.447
NWS2180,57.817,90.691,84.965,92.987,81.688,44.283,44.827,30.939,40.437,42.659,54.943,44.097,49.592,2.152,1.565,2.533,2.705,2.074,2.227,82.089,100.518,93.071,106.78,106.486,97.175,275.286,534.674,262.794,561.238,574.485,444.684
PBW644,61.958,95.385,90.807,98.272,87.036,44.283,44.827,27.09,39.712,41.942,61.438,45.51,53.55,2.508,1.997,2.453,2.907,2.369,2.469,69.203,100.518,97.825,110.347,101.612,95.254,429.29,530.891,282.926,583.726,653.313,502.473
PBW803,59.474,97.263,87.886,97.391,85.821,44.283,44.827,32.589,45.508,44.331,30.03,51.161,40.808,1.513,2.159,2.652,3.001,2.131,2.34,66.442,96.859,96.241,110.347,102.425,93.717,203.096,321.862,237.026,629.293,608.142,411.099
PBW804,57.817,87.875,80.097,90.344,79.014,44.283,44.827,29.839,41.161,42.897,39.433,53.422,46.648,1.577,2.267,2.459,2.705,1.695,2.16,69.203,98.689,97.825,111.239,101.612,95.062,180.958,388.07,249.105,560.646,480.6,373.949
PBW811,59.474,97.263,87.886,96.51,85.578,44.283,44.827,32.039,47.682,45.047,49.224,52.009,50.799,2.335,2.015,2.527,2.72,1.923,2.327,70.124,105.092,96.241,110.347,108.923,97.752,462.979,302.945,267.626,562.422,535.514,428.549
PBW812,56.989,86.936,80.097,90.344,78.528,44.283,44.827,29.289,45.508,43.853,29.739,51.444,40.808,1.101,1.35,2.546,2.857,1.79,1.962,66.442,100.518,96.241,108.564,110.548,96.022,208.871,435.362,249.105,639.353,505.399,418.98
PBW813,62.787,85.998,83.992,90.344,80.959,44.283,44.827,32.589,43.335,43.614,22.177,55.4,39.07,0.818,2.15,2.409,2.842,1.6,1.988,75.646,107.836,102.58,113.915,102.425,100.249,179.033,411.716,237.026,531.057,457.571,361.191
PBW826,62.787,93.508,88.86,93.868,85.091,44.283,44.827,34.238,44.059,43.853,54.07,51.821,53.116,2.582,2.851,2.826,3.326,1.941,2.788,62.76,94.115,88.317,102.321,100.8,88.337,324.374,586.695,313.525,603.846,545.256,483.71
PBW827,60.302,97.263,84.965,93.868,84.362,44.283,44.827,33.688,43.335,43.375,37.494,60.11,49.11,1.321,2.15,2.421,2.951,1.552,2.109,70.124,94.115,98.618,104.996,99.988,92.756,262.773,473.195,286.952,577.216,468.2,418.229
PBW828,61.958,97.263,84.965,94.749,85.091,44.283,44.827,33.138,42.61,43.136,50.581,51.632,51.281,2.152,1.853,2.347,2.582,2.065,2.198,68.283,105.092,97.825,112.131,104.049,96.983,199.246,600.883,257.158,571.298,588.656,447.874
PBW829,60.302,96.324,83.018,95.63,84.119,44.283,44.827,32.039,36.814,40.986,60.081,52.386,56.398,2.636,1.889,2.403,2.756,2.198,2.387,70.124,98.689,97.033,102.321,97.551,92.18,231.009,586.695,232.195,544.668,627.627,445.247
PBW830,61.13,91.63,89.833,102.676,86.793,44.283,44.827,31.489,44.784,43.614,62.698,51.35,57.17,2.892,1.619,2.316,2.582,1.866,2.251,76.567,108.751,102.58,107.672,109.736,101.018,240.635,241.466,228.974,447.024,535.514,327.418
PBW831,61.13,95.385,86.912,92.987,84.362,44.283,44.827,31.489,38.988,42.181,55.234,53.987,54.805,2.207,2.033,2.266,2.453,2.331,2.24,70.124,95.03,96.241,108.564,102.425,93.717,257.96,411.716,246.689,509.753,548.799,391.399
PBW832,62.787,95.385,87.886,100.915,87.279,44.283,44.827,32.039,44.784,44.092,63.377,49.843,56.735,2.764,2.087,2.558,3.124,2.558,2.659,79.328,98.689,94.656,104.105,100.8,94.677,294.536,525.216,256.352,552.953,699.37,468.888
PBW833,56.161,95.385,78.15,92.106,80.473,44.283,44.827,32.589,41.886,42.659,21.014,57.284,39.457,0.772,0.181,2.44,3.03,2.207,1.754,71.044,105.092,104.164,112.131,106.486,99.673,256.035,487.383,261.989,500.876,608.142,419.355
PBW834,66.1,95.385,88.86,94.749,86.793,44.283,44.827,36.987,48.406,45.525,44.28,41.083,42.739,2.042,2.114,2.322,3.189,1.505,2.267,69.203,104.177,95.448,104.996,106.486,95.446,231.009,548.862,249.105,481.348,438.971,381.642
PBW835,52.847,88.814,78.15,87.702,76.584,44.283,44.827,30.143,42.909,43.614,44.725,51.357,48.916,1.752,1.434,2.5,2.314,1.669,1.961,80.731,98.805,96.689,102.264,102.505,95.485,250.08,461.697,245.393,543.347,469.835,389.884
PBW836,56.217,95.59,85.498,95.156,82.662,44.283,44.827,32.589,43.335,43.136,53.877,50.219,52.198,2.042,0.181,2.372,2.243,2.141,1.776,63.681,98.689,98.618,105.888,104.049,93.525,300.311,525.216,268.431,503.244,589.542,433.802
PBW837,59.474,97.263,78.15,93.868,82.417,44.283,44.827,31.792,42.909,43.375,51.22,56.538,54.804,2.419,1.641,2.314,2.4,2.001,2.166,77.049,107.953,95.104,116.533,110.629,101.25,315.531,433.322,287.266,593.648,553.091,440.355
PBW838,59.53,95.59,79.656,93.394,81.69,44.283,44.827,29.289,42.61,42.897,49.224,47.582,48.53,2.508,2.24,2.253,3.701,1.495,2.492,81.169,100.518,86.733,112.131,104.049,96.022,517.843,392.799,165.359,518.63,445.171,400.217
PBW839,59.474,97.263,92.754,94.749,86.307,44.283,44.827,30.693,42.184,43.136,43.659,49.662,47.516,2.072,2.36,2.351,3.382,1.773,2.456,77.97,96.061,90.35,109.398,104.13,94.717,377.133,442.781,234.924,578.262,507.034,427.409
PBW840,61.186,101.223,91.339,94.275,86.794,44.283,44.827,34.788,44.784,44.092,47.382,65.479,56.784,2.088,2.042,2.446,2.568,1.647,2.169,63.681,91.37,88.317,96.97,96.738,85.839,321.487,383.341,261.184,557.688,485.914,403.407
PBW841,56.161,85.998,78.15,92.106,78.042,44.283,44.827,35.888,38.263,41.703,36.524,73.58,55.529,1.832,1.853,2.658,3.781,1.666,2.45,74.726,104.177,98.618,110.347,101.612,97.367,250.26,482.654,233,586.093,485.028,411.475
PBW848,60.302,92.569,90.807,100.915,86.55,44.283,44.827,31.243,40.735,42.659,48.118,61.436,55.769,2.063,2.423,2.6,3.137,0.549,2.244,68.766,98.805,93.519,104.048,98.444,91.643,367.508,499.531,249.419,558.141,461.863,424.219
Raj4083,61.186,100.284,91.339,96.918,87.281,44.283,44.827,34.238,46.957,44.808,52.422,47.299,49.978,2.225,1.332,2.172,2.756,1.771,2.044,63.681,93.2,93.864,100.537,102.425,89.682,241.597,397.528,224.948,560.055,506.285,387.271
RAJ4541,52.847,104.773,78.15,89.464,81.202,44.283,44.827,35.092,41.46,43.136,31.154,50.509,41.724,1.688,2.144,2.556,2.934,1.593,2.249,73.368,101.549,94.312,108.507,104.13,95.678,300.131,589.385,250.224,530.919,444.149,416.714
RAJ4546,52.903,94.651,84.524,97.799,81.933,44.283,44.827,32.342,44.358,43.614,17.679,53.241,36.415,0.83,2.045,2.488,3.021,2.628,2.258,68.766,104.293,101.443,113.857,109.004,99.328,195.215,452.239,217.209,507.248,709.862,410.147
RAJ4547,62.014,90.896,84.524,92.513,82.176,44.283,44.827,30.939,39.712,42.181,37.397,64.631,51.378,1.266,1.817,2.602,2.972,1.315,2.044,65.522,98.689,98.618,111.239,108.111,96.022,249.297,615.07,281.315,590.235,484.142,449.938
RAJ4548,61.958,93.508,89.833,99.153,86.55,44.283,44.827,35.641,46.531,44.57,51.802,46.836,50.122,2.145,2.054,2.363,2.79,2.381,2.38,72.447,109.782,93.519,111.182,110.629,99.136,195.215,376.572,202.714,532.103,646.977,386.319
RAJ4549,56.217,90.896,80.63,89.871,78.773,44.283,44.827,32.342,34.215,40.27,58.684,55.502,57.989,2.337,2.189,2.326,2.487,1.973,2.28,82.572,89.657,91.142,102.264,100.068,92.027,345.37,475.885,228.482,533.287,546.891,420.467
RAJ4550,61.186,105.916,97.181,107.488,93.115,44.283,44.827,29.593,42.184,42.897,46.567,62.095,55.335,2.118,1.938,2.438,2.357,1.783,2.149,77.049,105.208,92.727,107.615,102.505,96.254,291.468,499.531,226.067,542.755,509.692,409.209
RAJ4551,56.217,92.774,84.524,93.394,81.204,44.283,44.827,31.243,40.735,42.659,53.934,41.184,48.288,2.392,2.117,2.096,2.804,1.954,2.285,71.527,89.657,88.765,106.723,97.631,89.529,290.506,386.031,199.493,483.577,543.349,368.682
RAJ4552,62.843,94.651,78.683,94.275,82.419,44.283,44.827,36.191,42.909,43.136,47.052,65.675,57.41,2.228,1.623,2.781,2.761,2.068,2.363,65.084,103.379,90.35,104.939,101.693,92.027,399.271,471.156,267.134,590.098,564.606,460.806
RAJ4553,56.217,90.896,79.656,94.275,79.745,44.283,44.827,33.688,41.886,43.136,47.285,51.821,49.737,1.951,1.134,2.415,2.33,0.594,1.689,59.999,91.37,89.902,99.646,98.363,86.415,253.147,378.612,249.105,528.098,473.514,374.325
Raj4554,54.504,97.263,87.886,95.63,83.876,44.283,44.827,38.087,39.712,41.942,20.82,44.097,32.603,0.772,1.772,2.154,2.727,2.283,1.93,66.442,103.262,92.279,113.023,104.049,95.062,202.133,352.128,211.258,507.978,539.942,358.001
RVW4301,63.615,101.018,80.097,98.272,86.307,44.283,44.827,36.438,49.131,45.525,50.871,42.496,46.745,2.024,1.889,1.848,3.694,1.666,2.238,62.76,96.859,93.071,101.429,98.363,89.298,327.262,388.07,275.678,562.422,475.285,408.097
RVW4304,54.504,87.875,70.362,85.94,74.396,44.283,44.827,29.839,36.814,40.986,56.591,50.69,53.791,2.499,2.177,2.16,3.391,1.809,2.432,73.805,94.115,89.11,109.455,101.612,92.564,271.435,581.966,282.926,584.909,517.799,453.503
RVW4309,58.645,101.956,84.965,103.557,87.765,44.283,44.827,32.589,33.916,40.27,53.974,58.226,56.349,2.262,1.314,2.39,2.366,2.198,2.095,69.203,105.092,94.656,115.698,110.548,98.712,284.911,511.029,257.158,503.835,613.456,430.612
SKW356,61.13,101.018,88.86,106.2,89.953,44.283,44.827,34.788,44.784,44.331,21.305,45.039,33.327,0.955,1.754,2.434,1.976,1.277,1.663,71.965,104.177,95.448,109.455,105.674,96.791,194.433,288.758,190.322,407.375,390.257,275.446
TAW155,54.504,98.201,80.097,93.868,81.688,44.283,44.827,30.939,40.437,42.181,40.208,49.278,44.91,1.787,2.644,2.577,3.059,1.628,2.389,64.601,105.092,93.071,110.347,106.486,95.254,271.435,378.612,267.626,557.096,462,388.959
UAS3008,60.302,98.201,89.833,98.272,87.036,44.283,44.827,30.389,32.467,36.686,42.826,67.08,55.336,2.18,1.772,2.558,3.34,1.837,2.396,71.965,106.007,101.787,111.239,102.425,98.328,504.367,487.383,274.068,632.844,517.799,493.279
UAS3011,61.13,90.691,86.912,98.272,84.605,44.283,44.827,27.64,39.712,41.942,66.285,51.632,59.1,3.157,2.402,2.372,3.608,2.16,2.791,78.408,109.666,100.202,114.806,109.736,102.555,459.128,662.362,274.068,524.548,599.285,502.098
UAS3012,61.958,97.263,83.992,97.391,85.578,44.283,44.827,28.19,39.712,41.942,59.305,45.981,52.729,2.837,1.943,2.434,3.853,2.274,2.737,70.124,95.944,98.618,107.672,101.612,94.101,417.74,548.862,295.004,639.353,626.742,518.609
UAS3013,60.302,99.14,89.833,102.676,88.494,44.283,44.827,33.138,36.09,40.747,43.407,53.799,48.82,2.097,1.521,2.359,2.835,2.179,2.209,78.408,114.24,95.448,119.265,116.235,104.861,439.878,553.591,299.836,586.093,600.17,502.473
UAS3014,61.13,87.875,91.78,101.795,86.064,44.283,44.827,31.489,37.539,41.225,51.647,58.697,55.432,2.454,2.213,2.677,3.312,2.35,2.664,74.726,95.944,89.11,105.888,102.425,92.564,473.566,567.779,289.368,632.252,650.656,534.745
UP3033,58.645,88.814,83.018,93.868,81.202,44.283,44.827,30.389,44.059,43.614,61.632,53.987,57.99,2.408,1.916,2.365,2.149,1.638,2.077,74.726,103.262,97.033,109.455,99.988,96.214,477.416,388.07,277.289,526.323,496.542,430.8
UP3051,61.958,100.079,89.833,100.915,88.738,44.283,44.827,27.64,38.263,41.942,35.749,49.843,42.98,1.412,1.682,2.278,2.763,2.188,2.066,69.203,109.666,93.071,114.806,103.237,97.367,243.522,633.987,357.814,632.844,616.113,511.854
UP3052,61.186,104.039,89.392,97.799,88.01,44.283,44.827,31.243,40.735,42.897,58.006,46.176,52.873,1.908,1.668,2.525,2.804,1.356,2.109,66.925,100.634,95.896,118.317,104.942,96.83,254.892,508.989,251.029,593.057,466.292,416.526
UP3053,61.13,98.201,88.86,94.749,86.064,44.283,44.827,30.389,41.886,42.42,67.933,51.632,59.921,2.371,2.159,2.44,2.965,1.828,2.381,73.805,104.177,97.033,118.374,105.674,99.481,344.588,350.237,250.716,502.06,527.542,390.085
UP3054,61.958,97.263,84.965,93.868,84.848,44.283,44.827,32.039,43.335,43.136,46.315,62.936,54.95,2.244,2.123,2.689,3.239,1.761,2.478,75.646,91.37,95.448,102.321,96.738,91.219,418.702,525.216,281.315,610.356,529.314,481.084
UP3055,62.014,100.284,92.313,104.845,89.955,44.283,44.827,29.043,35.664,40.986,53.062,58.798,56.879,2.081,1.398,2.332,2.949,2.276,2.245,66.004,100.634,94.312,102.264,96.819,90.874,217.354,494.802,267.94,607.851,615.977,446.734
UP3056,62.014,100.284,89.392,102.203,88.496,44.283,44.827,29.043,37.113,41.703,61.689,64.638,64.167,2.383,1.821,2.569,2.465,1.944,2.274,63.243,102.464,96.689,108.507,101.693,93.756,237.567,428.593,263.108,593.057,549.549,417.652
UP3057,61.958,101.018,89.833,100.915,88.981,44.283,44.827,29.839,38.988,41.703,74.719,61.523,68.367,3.048,2.222,2.322,3.167,1.998,2.577,84.851,103.262,98.618,113.915,104.049,100.634,271.435,515.758,261.989,591.419,561.199,446.748
UP3058,62.787,101.956,84.965,98.272,87.522,44.283,44.827,31.489,39.712,42.42,32.453,49.748,41.291,1.302,2.06,2.247,3.636,1.932,2.282,83.01,118.814,99.41,129.967,117.859,110.433,225.234,454.279,249.105,554.137,580.685,414.852
UP3059,61.13,101.018,92.754,101.795,89.71,44.283,44.827,29.839,38.263,41.464,58.53,40.612,49.592,2.353,1.979,2.284,3.333,2.074,2.436,78.408,104.177,95.448,115.698,108.111,100.057,319.562,529.945,305.472,575.441,576.256,467.199
UP3060,61.958,103.834,84.965,95.63,87.036,44.283,44.827,28.19,41.161,42.897,53.004,57.284,55.384,1.96,2.15,2.521,2.662,10.361,3.876,72.885,105.092,98.618,113.915,108.111,99.481,259.885,515.758,288.562,570.115,582.456,448.437
UP3061,62.843,93.713,89.392,96.037,85.336,44.283,44.827,27.394,42.184,43.136,28.245,62.378,46.357,1.305,1.299,2.743,2.855,2.675,2.244,67.845,106.123,98.273,114.749,112.254,99.713,253.93,485.343,282.434,574.12,653.177,452.551
UP3062,61.13,103.834,91.78,100.915,89.953,44.283,44.827,31.489,37.539,41.464,53.586,52.386,53.164,2.572,2.438,2.284,3.254,1.809,2.501,78.408,109.666,95.448,124.616,108.923,103.324,448.541,534.674,265.21,538.159,514.257,458.944
UP3064,63.615,101.018,90.807,104.438,90.682,44.283,44.827,30.389,36.814,41.703,19.948,60.298,40.47,0.745,1.862,2.44,2.647,1.628,1.881,72.885,91.37,97.033,106.78,104.862,93.909,233.897,364.424,241.053,528.098,484.142,368.133
UP3065,59.53,93.713,88.419,98.679,84.85,44.283,44.827,27.394,39.286,42.181,50.735,59.081,55.866,2.538,2.315,2.843,3.44,2.324,2.802,72.447,96.975,95.896,105.831,101.693,93.756,536.913,565.739,323.502,646.909,623.062,549.928
UP3069,56.989,101.956,83.018,94.749,84.362,44.283,44.827,30.939,44.059,43.375,20.529,42.119,31.445,1.037,1.458,2.316,2.46,1.325,1.716,71.044,103.262,93.864,106.78,100.8,94.293,194.433,482.654,192.738,615.682,398.229,382.205
VL2039,54.504,83.181,71.335,83.298,72.694,44.283,44.827,36.987,52.029,46.481,40.887,55.683,48.53,1.96,2.204,2.689,3.615,2.492,2.672,72.885,105.092,100.202,116.59,117.047,102.555,217.534,591.425,232.195,609.764,694.056,478.269
VL2040,62.787,100.079,87.886,98.272,87.765,44.283,44.827,27.09,41.886,42.897,15.489,61.429,38.829,0.59,1.664,2.509,2.915,1.41,1.855,71.044,98.689,87.525,103.213,103.237,91.603,179.995,402.258,192.738,526.915,429.228,341.865
VL2041,68.585,115.099,98.595,114.127,100.405,44.283,44.827,34.238,38.263,41.703,35.264,59.639,47.758,1.174,1.97,2.266,2.416,9.298,3.345,77.487,118.814,100.202,126.4,112.173,107.358,184.808,411.716,185.49,455.901,405.314,315.41
VL2042,57.817,99.14,87.886,97.391,85.821,44.283,44.827,25.99,40.437,42.181,21.693,49.278,35.692,0.955,2.15,2.608,3.124,1.771,2.176,82.089,114.24,103.372,123.725,117.047,108.703,530.355,600.883,301.446,663.025,519.571,537.184
VL3022,66.1,100.079,87.886,96.51,88.251,44.283,44.827,27.09,43.335,43.853,15.295,53.234,34.534,0.617,2.069,2.359,2.64,1.828,1.91,78.408,114.24,97.033,119.265,108.111,103.324,290.686,525.216,240.247,644.088,519.571,455.191
VL3023,54.504,88.814,78.15,92.106,78.285,44.283,44.827,30.939,44.784,44.092,34.683,60.11,47.71,1.64,2.006,2.552,2.987,2.15,2.305,63.681,90.456,93.864,102.321,96.738,88.145,341.7,421.174,265.21,618.049,597.513,458.569
VL3024,60.358,102.161,88.419,99.56,87.524,44.283,44.827,32.342,40.735,42.42,35.516,27.055,31.878,1.387,2.27,1.647,2.638,2.181,1.988,71.527,96.061,85.596,99.588,93.57,87.608,194.253,258.343,173.725,526.185,585.863,341.101
VL892,55.332,97.263,75.23,89.464,79.257,44.283,44.827,34.788,46.233,44.092,60.275,59.733,60.259,2.152,1.97,2.309,2.734,2.084,2.253,72.885,111.495,96.241,109.455,104.049,98.328,269.51,435.362,249.105,521.589,578.913,409.035
WH1021,56.161,95.385,85.939,93.868,82.904,44.283,44.827,29.289,41.886,42.659,51.647,45.604,48.723,2.152,1.763,2.453,2.705,2.53,2.331,70.124,105.092,98.618,113.915,106.486,98.52,272.398,468.466,245.884,535.2,609.913,426.297
WH1105,59.474,95.385,86.912,95.63,84.605,44.283,44.827,28.19,41.161,42.42,78.111,59.451,68.995,2.691,2.824,2.577,3.362,2.008,2.753,63.681,98.689,91.487,101.429,102.425,90.45,285.873,529.945,258.768,556.504,574.485,443.371
WH1124,57.736,93.06,83.88,92.009,81.54,44.254,44.942,31.595,43.235,43.646,40.301,50.237,45.875,1.853,1.781,2.113,2.697,2.019,2.095,72.595,100.466,95.646,107.553,99.806,94.597,293.115,453.219,258.114,539.955,510.439,409.141
WH1142,57.966,97.151,87.638,97.551,85.052,46.214,44.601,31.595,40.528,43.236,58.461,58.181,59.132,2.048,1.914,2.529,3.08,2.041,2.377,73.26,105.35,97.051,114.958,108.913,100.061,294.613,458.431,258.114,548.118,538.34,418.77
WH1252,60.302,97.263,83.992,95.63,84.605,44.283,44.827,28.74,41.886,43.136,36.04,53.987,45.248,1.321,1.916,2.826,3.016,2.017,2.285,61.84,95.944,97.825,104.996,102.425,91.795,288.761,534.674,297.42,557.096,562.085,451.439
WH1264,60.302,89.753,84.965,91.225,81.688,44.283,44.827,32.589,45.508,44.092,48.351,54.835,51.812,2.244,1.952,2.565,2.705,1.837,2.287,74.726,101.433,104.957,121.049,112.173,103.131,218.496,373.883,261.184,557.096,520.457,388.584
WH1270,58.645,92.569,84.965,92.987,82.417,44.283,44.827,28.19,43.335,43.853,52.326,46.452,49.496,2.819,1.673,2.446,3.124,1.505,2.352,77.487,105.092,96.241,111.239,100.8,97.559,481.267,525.216,290.173,604.438,523.999,492.341
WH1271,61.13,100.079,88.86,100.915,88.251,44.283,44.827,32.039,38.263,41.464,55.718,57.284,56.735,2.408,2.285,2.627,3.333,2.027,2.599,69.203,101.433,95.448,109.455,102.425,94.87,256.998,638.716,268.431,567.748,582.456,466.824
WH1272,63.671,101.223,90.366,101.322,89.225,44.283,44.827,31.243,37.113,41.703,21.46,44.858,34.002,0.647,1.884,2.32,2.696,1.508,1.845,67.845,102.464,88.765,104.939,97.631,91.066,230.829,570.468,306.592,579.446,528.292,445.796
WH1273,61.13,103.834,91.78,98.272,89.224,44.283,44.827,35.888,40.437,42.181,57.269,62.465,60.162,2.253,2.069,2.571,2.712,1.998,2.347,63.681,97.774,90.694,106.78,99.988,90.642,247.372,501.57,254.742,615.09,563.856,445.622
WH1274,56.989,91.63,84.965,94.749,82.174,44.283,44.827,30.389,41.886,43.136,55.525,47.865,51.812,2.216,1.727,2.683,2.741,1.638,2.242,70.124,101.433,103.372,107.672,107.299,97.752,319.562,553.591,242.663,654.148,485.914,463.072
WH1275,60.302,95.385,84.965,92.106,83.39,44.283,44.827,28.74,43.335,43.614,50.581,33.735,42.111,1.96,1.799,2.048,2.77,1.951,2.088,62.76,101.433,83.563,105.888,95.114,88.145,252.185,433.47,244.274,549.403,552.342,407.347
WH1276,61.13,95.385,84.965,95.63,84.605,44.283,44.827,35.888,41.161,42.897,65.315,63.124,64.506,3.075,2.348,3.069,3.55,2.122,2.946,71.965,108.751,95.448,114.806,108.111,99.481,569.819,534.674,282.926,608.581,588.656,524.801
WH1277,62.843,96.529,82.577,99.56,85.336,44.283,44.827,36.191,38.562,42.181,45.597,58.987,53.259,2.237,1.785,2.65,3.317,2.552,2.592,77.049,107.953,91.935,111.182,110.629,99.328,410.822,551.552,267.134,590.689,692.148,506.212
WH1278,59.53,92.774,78.683,93.394,80.717,44.283,44.827,35.641,43.633,43.853,39.006,47.307,43.993,1.889,1.731,2.656,2.869,1.783,2.255,68.766,105.208,94.312,106.723,101.693,94.525,237.567,461.697,246.198,469.374,497.292,369.995
WH1279,63.671,101.223,89.392,96.037,87.524,44.283,44.827,31.243,41.46,43.136,39.975,44.01,42.786,1.716,1.542,2.289,2.956,1.982,2.135,68.766,109.782,94.312,110.29,109.004,97.983,321.307,485.343,279.213,582.404,546.891,445.046
WH1280,60.358,97.468,89.392,96.037,85.579,44.283,44.827,32.342,41.46,42.42,42.302,45.894,44.91,1.789,1.911,2.382,3.339,1.897,2.331,64.163,98.805,99.858,110.29,100.881,94.141,260.667,404.947,251.835,564.651,522.977,400.203
WH1281,62.014,101.223,93.286,102.203,89.711,44.283,44.827,31.243,37.113,41.464,49.669,66.24,59.003,2.191,2.846,2.793,3.938,2.134,2.915,86.254,109.782,100.65,121.884,109.004,105.669,444.51,513.718,263.913,552.815,592.948,471.501
WH1283,59.53,92.774,85.498,95.156,82.905,44.283,44.827,28.493,42.184,44.092,50.929,58.327,55.576,2.748,1.407,2.519,2.992,2.001,2.392,68.766,105.208,106.989,106.723,108.192,99.136,291.468,537.364,265.524,611.994,572.577,461.181
WH1284,58.701,89.958,84.524,91.633,80.717,44.283,44.827,30.143,45.082,44.331,58.2,52.016,55.962,2.785,1.713,2.345,2.739,2.096,2.365,77.97,105.208,104.612,117.425,110.629,103.363,594.665,537.364,266.329,614.361,573.463,521.409
